"","wf.mix","delta.x.mix","delta.Poisson.Ratio.mix","r.atom.mix","amass.mix","Efus.mix","Ms"
"1",0.467471311743536,0.541366131065196,0.661734108519835,0.276706328319593,0.176039397236709,0.0258895343019054,213
"2",0.806174516094832,0.509230663408813,0.010188200498898,0.428049561237781,0.193501575091874,0.087028637698775,293
"3",0.806174516094832,0.509230663408813,0.010188200498898,0.428049561237781,0.193501575091874,0.087028637698775,287
"4",0.41554313635062,0.583478391538245,0.698759216881475,0.229607055516302,0.139440836777548,0.0164819023668849,285
"5",0.426515330951625,0.715866992010826,1,0,0.00353421265151893,0.0229399830833237,265.5
"6",0.426515330951625,0.715866992010826,1,0,0.00353421265151893,0.0229399830833237,264.1
"7",0.693003905381963,0.770037330311629,0.00960701581550807,0.540475922819273,0.345918551112904,0.127949228272414,261.7
"8",0.511098337578919,0.974388145871397,0.370497110072091,0.883948092088452,0.458745054242605,0.143542149555779,245
"9",0.511098337578919,0.974388145871397,0.370497110072091,0.883948092088452,0.458745054242605,0.143542149555779,243
"10",0.511098337578919,0.974388145871397,0.370497110072091,0.883948092088452,0.458745054242605,0.143542149555779,244
"11",0.511098337578919,0.974388145871397,0.370497110072091,0.883948092088452,0.458745054242605,0.143542149555779,240
"12",0.511098337578919,0.974388145871397,0.370497110072091,0.883948092088452,0.458745054242605,0.143542149555779,242
"13",0.804348569101505,0.282434109632438,0.14188530819691,0.714532117356474,0.405681765374237,0.105454451907383,261
"14",0.845873810663599,0.226786228155129,0.137666899797321,0.743975272795228,0.439874274502228,0.112552788047652,256.6
"17",0.793794706181059,0.521150121694276,0.0102229652259257,0.418473450990035,0.183570124972911,0.0847011706683509,225
"18",0.806174516094832,0.509230663408813,0.010188200498898,0.428049561237781,0.193501575091874,0.087028637698775,252
"19",0.81861076292742,0.497032861732895,0.0101518744749572,0.437669326934239,0.203478300578412,0.0893667151560807,291
"20",0.824850170927745,0.490827710773473,0.0101331189499583,0.442495673970893,0.208483738445274,0.0905397554944411,310
"21",0.843654118122241,0.471777967819798,0.0100744479950677,0.457041024237307,0.223568821730294,0.0940749929045395,353
"22",0.849950838682237,0.465280631753421,0.0100540798659345,0.461911704054015,0.228620237429739,0.0952588082946988,371
"23",0.879769148407109,0.49158357171504,0.0191830086186852,0.443040832082366,0.205432189347398,0.101109238398082,292
"24",0.852319202580528,0.491206305959772,0.0147748727607708,0.44276834775521,0.206957433648521,0.0958263335364815,290
"25",0.797362033536392,0.490447783279468,0.00522304490943028,0.442222810531771,0.210011104844084,0.0852495004397123,311
"26",0.769854770466408,0.490066520593241,0,0.441949757239892,0.211539533952905,0.0799555645347078,322
"27",0.93905095920265,0.459787923413526,0.023321669372222,0.467590241072253,0.229054881034761,0.112378711233706,358
"28",0.911473927262807,0.459429333835238,0.0191089765782122,0.467324867123077,0.230596591452151,0.107071299097872,369
"29",0.883877617858424,0.459069433940349,0.0146888242318046,0.467059307666727,0.232139379587691,0.101760176865556,388
"30",0.856262010768872,0.458708220884137,0.0100333012577297,0.466793562508646,0.233683246571831,0.0964453406451407,395
"31",0.82862708574519,0.458345691814121,0.00510729813990088,0.466527631453946,0.235228193536598,0.091126786539556,403
"32",0.396575509670355,0.950156577969925,0.382475390140312,0.123950544456796,0.0400384286348422,0.912563671542539,268.2
"33",0.411108441258501,0.933071892433026,0.377692227156101,0.0444854839646776,0,1,299.7
"34",0.945247723471112,0.366094847157246,0.0106839019219919,0.531342144476195,0.300257518658472,0.113200077596124,503.3
"35",0.889991305091146,0.464951912223568,0.0874072582751828,0.544662801037329,0.292662529661857,0.113903016010553,511.58
"36",0.9068649053029,0.453385006281642,0.0172200404483831,0.567523477694007,0.285575672998397,0.131256278713002,504.74
"37",0.99057362057132,0.362687869610572,0.0155937313490974,0.531825412122175,0.297143227519546,0.121390262502072,521.2
"38",0.666171371473398,0.437899961513302,0.123561709119569,0.583875029604368,0.286891803837666,0.0761192323316124,497
"40",0.868927908985091,0.445334800132247,0.00999050064236122,0.476590969621512,0.243844205199018,0.0988265937269158,422.9
"41",0.850728378688977,0.460825099030405,0.0123459683206892,0.477377174288656,0.239206419084419,0.113347212235321,404.7
"42",0.832566938378521,0.475856911152566,0.0146135648006701,0.478161733499902,0.23457833944046,0.127837440390719,471
"43",0.799656125703271,0.500362846511367,0.0186889602717872,0.482867120953857,0.228772673641484,0.157041614767155,432
"44",0.487008506917663,0.700335961488554,0.363067328472094,0.569749503835093,0.397730440466323,0.235328065008102,289
"45",0.453343374991583,0.733541130541366,0.36874191228376,0.608480345914198,0.410962391664158,0.194011115630525,285
"46",0.386146490993925,0.815908061800988,0.386658589359971,0.581207158703365,0.373567619444349,0.209545575681366,269
"47",0.46622453533027,0.733865982953125,0.37143152875839,0.62901407374799,0.425218187075692,0.202337239360221,276
"48",0.462242743354695,0.738149270938489,0.36773746093302,0.618482186515269,0.413981620687219,0.202374981445287,275
"49",0.474229193079476,0.735757229722658,0.373189749556993,0.591119156954192,0.403784918169287,0.243833772930289,277
"50",0.468828984232538,0.719429794001747,0.378137266896075,0.588403716060915,0.413558975996091,0.231305860430968,281
"51",0.4777435677434,0.723974927916778,0.377152744486243,0.598398012115813,0.416581619832055,0.239698978673352,289
"52",0.173393962296984,0.755392577315172,0.673561809959436,0.87399992806339,0.94501909525515,0.226081507443189,283
"53",0,0.828796455655595,0.670021604709298,0.999993677409909,1,0,218
"54",0.166326730923139,0.756544790022405,0.670886299518963,0.889631868339028,0.951385267154321,0.202906955270193,288
"55",0.00465753070102545,0.826428881897395,0.669295863888652,1,0.999855699526347,0.00156344307826515,223
"56",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,393
"57",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,391
"58",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,394
"59",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,398
"60",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,395
"61",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,390
"62",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,390
"63",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,395
"64",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,397
"65",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,396
"66",0.756305612838604,0.603048786678213,0.169210424689047,0.587298794513041,0.302507548187691,0.108352491687057,404
"67",0.406733159687257,0.970652439788664,0.373510680625521,0.909220492670563,0.486838316289945,0.126461370414272,238
"68",0.370264720386239,1,0.374703819440443,0.88240401288449,0.4580303675119,0.120082751175627,214
"69",0.96102599799427,0.116320804916084,0.194674518714378,0.956736410811413,0.677177426315177,0.157218765203543,377.48
"71",0.794003415171144,0.47111197037991,0.000995304598112149,0.456557183829086,0.226337776031553,0.0845193680908729,351.22
"72",0.808050651230878,0.454444761016616,0.0749735837496257,0.461672224279907,0.242779330939833,0.0990557036721176,346.38
"73",0.93905095920265,0.459787923413526,0.023321669372222,0.467590241072253,0.229054881034761,0.112378711233706,372
"74",0.911473927262807,0.459429333835238,0.0191089765782122,0.467324867123077,0.230596591452151,0.107071299097872,377
"75",0.883877617858424,0.459069433940349,0.0146888242318046,0.467059307666727,0.232139379587691,0.101760176865556,385
"76",0.856262010768872,0.458708220884137,0.0100333012577297,0.466793562508646,0.233683246571831,0.0964453406451407,396
"77",0.82862708574519,0.458345691814121,0.00510729813990088,0.466527631453946,0.235228193536598,0.091126786539556,408
"78",0.338179682451738,0.822633259036906,0.246223795449835,0.669143021976513,0.309579971775222,0.06391116013537,299.9
"79",0.378787653160033,0.816070620767679,0.244342874786198,0.634626526147423,0.293753967901902,0.0670534133614622,304.7
"80",0.370657668264284,0.850984973919695,0.255722648531334,0.623771125677419,0.302257149134608,0.11448266977897,293.9
"81",0.394949687933522,0.830617301172915,0.249180151006829,0.61203003613996,0.290115329216794,0.0922681710166771,305.1
"82",0.419110555427035,0.809537236470988,0.242451967957819,0.600352336532974,0.278039062765556,0.0701736079322275,326.2
"83",0.841233831475501,0.444979182786385,0.00505799293699276,0.476327861286944,0.245396269479095,0.0934966354990334,466.8
"84",0.818384434810302,0.472938576757208,0.0231636384078282,0.48758664369493,0.257296231842016,0.115491774288084,475.2
"85",0.795411917405469,0.500069037148314,0.0385597724061263,0.498906092458258,0.269260315467702,0.137605430769111,498.5
"86",0.772315281444687,0.526380573006193,0.0521375951476968,0.510286699239636,0.28128904001874,0.159838565453615,481.5
"87",0.749093518300241,0.551882078007362,0.0643808653365948,0.521728961029035,0.293382930788314,0.182192149260338,566.3
"88",0.74077387226073,0.616251416266629,0.104342205284806,0.466095647298416,0.202395435538386,0.0913405540927323,231.3
"89",0.735279555319231,0.616172541925501,0.103882059500231,0.46604280416006,0.202699977719163,0.090284319395025,206.6
