Cu,Al,Mn,Ni,Co,Zn,Si,Be,Hf,Fe,Ti,V,Mg,Cr,Ag,Nb,Zr,Ms,Mp,Mf,As,Ap,Af,HMA,HAM,Crlrat,Ttemp1,Ttime1,Ttemp2,Ttime2
85.6,9.7,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,261,252.6,223.7,310.1,342.1,359,7.97,-6.92,0,1173,24,0,0
86.4,9.1,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,256.6,242,214.8,278.7,322,354.8,4.5,-2.77,0,1173,24,0,0
84.7,12,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,195.6,187.5,167.5,298.8,342.9,364.1,8.01,-9.51,0,1173,24,0,0
83.5,10.7,0,0.5,0,0,0,0,0,5.3,0,0,0,0,0,0,0,204.6,190.4,154.1,267.9,320.5,351.2,5.83,-6.09,0,1173,24,0,0
84.7,12.3,0,0,0,0,0,0,0,2.5,0.4,0,0,0,0,0,0,243.4,233.3,210.5,317.1,368.6,383.2,11,-11.4,0,1173,24,0,0
84.7,11.5,1.2,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,161.6,153.6,143.5,276.1,325.2,342.7,7.99,-8.38,0,1173,24,0,0
81.8,14.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,225,,208,240,,256,,,0,1173,0.33,0,0
82,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,252,,246,274,,285,,,0,1173,0.33,0,0
82.2,13.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,291,,262,276,,315,,,0,1173,0.33,0,0
82.3,13.7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,310,,281,290,,333,,,0,1173,0.33,0,0
82.6,13.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,353,,330,339,,359,,,0,1173,0.33,0,0
82.7,13.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,371,,346,357,,377,,,0,1173,0.33,0,0
81.3,13.7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,292,,273,284,,302,,,0,1173,0.33,0,0
